Label Id	Label Name	Number Of Voxels	Volume (mm^3)	Image mean (JHU_MNI_T1_MNI)	Image stdev (JHU_MNI_T1_MNI)
209	Label 209	12116	12116	145.723	16.1103
210	Label 210	15280	15280	147.931	15.4428
211	Label 211	17154	17154	149.622	14.3031
212	Label 212	9886	9886	155.073	12.357
213	Label 213	9022	9022	155.293	13.1795
214	Label 214	4903	4903	142.631	15.2032
215	Label 215	4874	4874	147.047	15.1654
216	Label 216	4590	4590	142.791	14.7251
217	Label 217	6167	6167	142.666	14.6939
218	Label 218	3606	3606	139.26	15.5985
219	Label 219	3439	3439	139.255	16.3775
220	Label 220	10486	10486	146.57	16.3966
221	Label 221	11361	11361	146.351	16.5518
222	Label 222	1589	1589	126.742	15.228
223	Label 223	1548	1548	129.564	15.5992
224	Label 224	11218	11218	150.787	15.188
225	Label 225	12085	12085	149.958	15.3937
226	Label 226	1322	1322	142.37	19.1849
227	Label 227	1314	1314	142.377	18.4607
228	Label 228	5895	5895	141.686	16.617
229	Label 229	6010	6010	143.896	16.711
230	Label 230	5820	5820	137.979	16.3813
231	Label 231	6280	6280	136.887	16.7012
232	Label 232	4205	4205	152.188	12.881
233	Label 233	4742	4742	149.779	14.512
234	Label 234	13931	13931	147.416	16.1331
235	Label 235	13807	13807	147.336	16.9297
236	Label 236	2947	2947	142.809	15.0427
237	Label 237	3484	3484	144.599	16.431
238	Label 238	4813	4813	142.357	17.5128
239	Label 239	3955	3955	138.028	18.5705
240	Label 240	6945	6945	140.134	18.4877
241	Label 241	6333	6333	139.412	18.9573
242	Label 242	133	133	125.909	9.46758
243	Label 243	16	16	124.755	8.50855
244	Label 244	103	103	140.302	11.9412
245	Label 245	139	139	128.074	12.4037
246	Label 246	247	247	140.798	12.5796
247	Label 247	132	132	135.235	13.5394
248	Label 248	2494	2494	139.026	15.8651
249	Label 249	1712	1712	129.244	13.7799
250	Label 250	4321	4321	148.161	12.3852
251	Label 251	4289	4289	145.867	14.3492
252	Label 252	12423	12423	151.388	16.0115
253	Label 253	12028	12028	150.893	16.2932
254	Label 254	718724	718724	31.7212	15.1704
255	Label 255	787163	787163	86.9343	44.6846
256	Label 256	3819601	3.8196e+06	2.05218	5.34366
257	Label 257	10993	10993	84.7606	33.8336
258	Label 258	3847	3847	159.248	7.10879
259	Label 259	3651	3651	159.67	7.23734
260	Label 260	120641	120641	67.7341	14.9399
261	Label 261	693	693	156.18	10.8279
262	Label 262	669	669	157.42	11.0532
263	Label 263	24462	24462	34.445	11.8578
264	Label 264	19409	19409	35.8382	12.3494
265	Label 265	3283	3283	35.409	12.5626
266	Label 266	3694	3694	32.0323	12.3523
267	Label 267	3386	3386	36.5502	12.5226
268	Label 268	3744	3744	37.7036	13.591
269	Label 269	4078	4078	36.6231	12.3927
270	Label 270	3820	3820	37.6743	13.4023
271	Label 271	551	551	41.5416	11.8555
272	Label 272	588	588	32.6701	12.4409
273	Label 273	12582	12582	33.7862	12.034
274	Label 274	12813	12813	32.6545	11.9352
275	Label 275	5069	5069	41.1003	13.4787
276	Label 276	4808	4808	39.3865	12.3246
277	Label 277	2802	2802	39.0744	10.7766
278	Label 278	2671	2671	37.4838	10.8287
279	Label 279	2824	2824	42.7429	12.6512
280	Label 280	2380	2380	39.7352	11.7044
281	Label 281	506	506	104.712	15.3945
282	Label 282	31	31	127.444	11.8951
283	Label 283	616	616	105.255	15.0277
284	Label 284	41	41	122.195	9.80391
285	Label 285	251	251	84.3512	15.6319
286	Label 286	296	296	83.5726	16.4609
